,participantFrames.2.currentGold,participantFrames.2.dominionScore,participantFrames.2.jungleMinionsKilled,participantFrames.2.level,participantFrames.2.minionsKilled,participantFrames.2.participantId,participantFrames.2.position.x,participantFrames.2.position.y,participantFrames.2.teamScore,participantFrames.2.totalGold,participantFrames.2.xp
0,500,0.0,0,1,0,2,561.0,581.0,0.0,500,0
1,0,0.0,0,1,0,2,9340.0,2349.0,0.0,500,0
2,111,0.0,0,1,5,2,12326.0,2053.0,0.0,611,153
3,490,0.0,0,2,17,2,13233.0,3026.0,0.0,990,540
4,184,0.0,0,3,18,2,12706.0,2791.0,0.0,1434,734
5,495,0.0,0,3,26,2,11619.0,1294.0,0.0,1745,1045
6,219,0.0,0,4,33,2,10488.0,1599.0,0.0,2419,1428
7,626,0.0,0,5,46,2,11103.0,1317.0,0.0,2826,1858
8,115,0.0,0,5,53,2,3569.0,784.0,0.0,3415,2287
9,371,0.0,0,6,60,2,10717.0,1949.0,0.0,3671,2567
10,570,0.0,0,7,75,2,1251.0,536.0,0.0,4705,3389
11,936,0.0,0,7,86,2,10251.0,2275.0,0.0,5071,3781
12,300,0.0,0,8,96,2,10608.0,1638.0,0.0,5425,4193
13,740,0.0,0,8,110,2,13448.0,4043.0,0.0,5865,4713
14,308,0.0,0,9,122,2,4883.0,3016.0,0.0,6608,5193
15,883,0.0,0,9,132,2,6495.0,10039.0,0.0,7183,5924
16,17,0.0,4,10,133,2,2777.0,2190.0,0.0,8157,6393
17,903,0.0,4,11,152,2,14092.0,7204.0,0.0,9042,7422
18,1600,0.0,4,11,160,2,9554.0,9172.0,0.0,9740,7811
19,2366,0.0,10,12,167,2,12878.0,12194.0,0.0,10506,8764
20,106,0.0,10,12,176,2,13825.0,13260.0,0.0,11246,9200
21,454,0.0,18,12,176,2,11537.0,7814.0,0.0,11494,9609
22,1704,,18,13,183,2,,,,12804,10693
